Sample,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns,210200799_timestamp_ns,210200799_offset_ns,Basler acA2440-20gc (23630913)_timestamp_ns,Basler acA2440-20gc (23630913)_offset_ns
0,8142963712316,34,8142968282520,38,8142975382162,0
1,8145979659420,302,8145984984480,42,8145992382738,0
2,8148996539740,370,8149001411352,37,8149008874114,0
3,8152013398444,190,8152018333368,89,8152025563090,0
4,8155029799532,314,8155036084608,62,8155043528706,0
5,8158047742572,42,8158054850816,59,8158062155186,0
6,8161066774764,486,8161073164688,29,8161080378322,0
7,8164084610812,542,8164090683840,84,8164098039298,0
8,8167102304444,370,8167109066488,65,8167116323458,0
9,8170120701356,22,8170127236352,225,8170134658338,0
10,8173138925996,54,8173144125088,155,8173151728034,0
11,8176155660908,354,8176160778208,40,8176167984530,0
12,8179172589420,30,8179177489472,184,8179184800946,0
13,8182188771404,74,8182193836656,125,8182201023922,0
14,8185205352348,2,8185212176968,26,8185219710882,0
15,8188224691548,202,8188230433312,116,8188237760178,0
16,8191242044508,158,8191249111296,194,8191256444418,0
17,8194261018380,138,8194268186552,76,8194275455938,0
18,8197279768364,390,8197286609168,187,8197293915058,0
19,8200298111804,182,8200304979784,149,8200312205138,0
