Sample,Basler acA2500-14gm (21639790)_timestamp_ns,Basler acA2500-14gm (21639790)_offset_ns,210200799_timestamp_ns,210200799_offset_ns,Basler acA2440-20gc (23630913)_timestamp_ns,Basler acA2440-20gc (23630913)_offset_ns
0,185955337190,0,4914117635992,41,4914124754274,0
1,186331978340,0,4917131862784,134,4917139570946,0
2,186708742316,0,4920144949416,32,4920151878914,0
3,187085331106,0,4923158525496,15,4923166465042,0
4,187462075459,0,4926171814912,157,4926178516450,0
5,187838639195,0,4929184812968,87,4929192777538,0
6,188215407512,0,4932200113048,132,4932207588850,0
7,188592287821,0,4935212927432,45,4935220086354,0
8,188968818376,0,4938225734424,113,4938232764738,0
9,189345400287,0,4941238304984,21,4941245486226,0
10,189721980056,0,4944251086416,96,4944258051250,0
11,190098618596,0,4947264138728,50,4947272846338,0
12,190475651609,0,4950280021272,110,4950287103106,0
13,190852190268,0,4953293540360,209,4953301345890,0
14,191228982834,0,4956307037096,110,4956313925954,0
15,191605558033,0,4959319298280,37,4959326072418,0
16,191982055442,0,4962331686224,13,4962338474882,0
17,192358590062,0,4965343845680,114,4965350700162,0
18,192735175386,0,4968356648320,122,4968365949490,0
19,193112011370,0,4971371279120,27,4971378124050,0
